序号,楼盘,点击量,区县,物业价格,x,y
1,华门新西湖小镇,39534,余杭,8060,304.62,-503.67
2,世茂首府,36807,下沙,13000,552.22,-537.54
3,金隅观澜时代,33141,下沙,14000,552.22,-537.54
4,华鸿罗兰春天,27438,江干,17000,511.38,-545.27
5,龙湖滟澜山,25992,下沙,17000,552.22,-537.54
6,广宇上东城,25035,江干,13500,511.38,-545.27
7,滨江万家星城,24954,下城,23000,426.65,-551.01
8,绿城明月江南,23535,滨江,29300,425.89,-656.23
9,嘉里桦枫居,22758,下城,16700,426.65,-551.01
10,中海紫藤苑,22230,西湖,17000,353.91,-627.135
11,保利江语海,22224,下沙,16000,552.22,-537.54
12,金地自在城,21270,西湖,18000,353.91,-627.135
13,绿城蓝庭,20253,余杭,14000,304.62,-503.67
14,保利东湾,19305,下沙,15000,552.22,-537.54
15,和达城,18702,下沙,16000,552.22,-537.54
16,林之语嘉园,18003,滨江,7000,425.89,-656.23
17,东田擎天半岛,17034,余杭,8700,304.62,-503.67
18,赞成香颂,16737,余杭,8700,304.62,-503.67
19,积家,16710,滨江,17000,425.89,-656.23
20,中顺上尚庭,16308,拱墅,17000,403.36,-526.54
21,巨都桂花城,15747,下沙,5500,552.22,-537.54
22,坤和和家园,15075,西湖,28000,353.91,-627.135
23,名城湖左岸,14322,下沙,17000,552.22,-537.54
24,星汇荣邸,14139,滨江,17000,425.89,-656.23
25,世茂江滨花园,13770,下沙,13000,552.22,-537.54
26,信达柳郡,13413,余杭,17000,304.62,-503.67
27,冠宇隽园,13335,江干,14000,511.38,-545.27
28,翡翠城,13281,余杭,24000,304.62,-503.67
29,世茂江滨cosmo,13254,下沙,17000,552.22,-537.54
30,绿城紫桂公寓,13128,余杭,11000,304.62,-503.67
31,元都新苑,13113,下城,16500,426.65,-551.01
32,广大同城印象,12834,余杭,10500,304.62,-503.67
33,大家多立方,12819,江干,17000,511.38,-545.27
34,和达自由港,11937,下沙,9000,552.22,-537.54
35,绿城西溪诚园,11865,西湖,33800,353.91,-627.135
36,赛丽绿城丽园,11826,上城,48000,419.04,-617.73
37,金成江南春城竹海水韵,11637,余杭,13000,304.62,-503.67
38,雅戈尔御西湖,11622,西湖,36000,353.91,-627.135
39,德圣博奥城,11352,萧山,15000,580.81,-717.96
40,欣盛东方郡,11316,滨江,28300,425.89,-656.23
41,中意名仕苑,11262,余杭,17000,304.62,-503.67
42,众安启航社,11046,萧山,11000,580.81,-717.96
43,西溪蝶园二期,11043,西湖,29000,353.91,-627.135
44,中港金岸提香,11043,余杭,8000,304.62,-503.67
45,复地连城国际,10800,余杭,15000,304.62,-503.67
46,丁桥颐景园,10530,江干,14500,511.38,-545.27
47,江南铭庭,10527,滨江,16000,425.89,-656.23
48,坤和西溪里,10422,西湖,25000,353.91,-627.135
49,华元蒙卡岸,10164,余杭,12800,304.62,-503.67
50,德信泊林印象,10083,江干,17000,511.38,-545.27
51,新明半岛,9948,余杭,9880,304.62,-503.67
52,华元蒙卡岸,9876,余杭,12800,304.62,-503.67
53,德信泊林印象,9828,江干,17000,511.38,-545.27
54,东润枫华,9816,江干,29200,511.38,-545.27
55,良渚文化村白鹭郡南,9744,余杭,16000,304.62,-503.67
56,绿城玉园,9486,余杭,20000,304.62,-503.67
57,瑞金华翠嘉苑,9309,余杭,9700,304.62,-503.67
58,朗诗美丽洲,9144,余杭,17000,304.62,-503.67
59,顺发康庄,9123,萧山,17000,580.81,-717.96
60,坚果2.0,8913,西湖,6500,353.91,-627.135
61,海陆UN公社,8577,西湖,9000,353.91,-627.135
62,景丽华庭,8544,余杭,7000,304.62,-503.67
63,城建锦昌年华,8532,余杭,10000,304.62,-503.67
64,美达北城天地,8460,拱墅,12500,403.36,-526.54
65,钱塘梧桐燕庐,8406,之江,16000,363.73,-685.03
66,集美岸上蓝山,8400,余杭,10000,304.62,-503.67
67,杭州远洋公馆,8241,拱墅,36000,403.36,-526.54
68,天鸿君邑,8223,滨江,15000,425.89,-656.23
69,江南文苑,8085,滨江,16800,425.89,-656.23
70,众安景海湾,7956,萧山,14000,580.81,-717.96
71,星星港湾,7896,下沙,7000,552.22,-537.54
72,YOU盘时代,7845,西湖,13500,353.91,-627.135
73,天邑国际,7785,拱墅,8800,403.36,-526.54
74,塘栖金石华城,7782,余杭,7600,304.62,-503.67
75,恒安名座,7560,萧山,6000,580.81,-717.96
76,篁外,7452,之江,18000,363.73,-685.03
77,绿城蓝色钱江,7386,上城,60000,419.04,-617.73
78,水乡华庭,7197,余杭,8000,304.62,-503.67
79,绿城西子杭州御园,7089,上城,17000,419.04,-617.73
80,广和美地兰庭,7011,余杭,7200,304.62,-503.67
81,湖光山社,6933,余杭,17000,304.62,-503.67
82,泰地北上新城,6867,下城,13000,426.65,-551.01
83,金顺锦绣时代,6843,余杭,7900,304.62,-503.67
84,金帝海珀,6813,余杭,17000,304.62,-503.67
85,原筑壹号,6768,江干,19000,511.38,-545.27
86,贝利栖溪公馆,6762,余杭,7800,304.62,-503.67
87,大华海派风景,6546,余杭,15500,304.62,-503.67
88,蓝色港湾,6525,萧山,17000,580.81,-717.96
89,德意空港国际,6471,萧山,17000,580.81,-717.96
90,大家武林府,6447,下城,55000,426.65,-551.01
91,郡原九衡公寓,6432,余杭,17000,304.62,-503.67
92,海运国际,6423,江干,17000,511.38,-545.27
93,钱江水晶城,6399,滨江,23000,425.89,-656.23
94,中凯东方红街,6339,江干,17000,511.38,-545.27
95,万科草庄,6324,江干,17000,511.38,-545.27
96,郡原相江公寓,6237,江干,20000,511.38,-545.27
97,绿城丽江公寓,6093,江干,32000,511.38,-545.27
98,金成江南春城庭院深深,5964,余杭,12000,304.62,-503.67
99,绿城桃花源,5811,余杭,35000,304.62,-503.67
100,德信早城,5799,下沙,17000,552.22,-537.54
